Protein A;Gene A;Protein B;Gene B;Score;PMID
Q8CGW9;DMRTC2;P97311;MCM6;0.183;20211142 
P62259;YWHAE;P12970;RPL7A;0.081;16615898 
P97313;PRKDC;P02340;TP53;0.21;15792956 
P97318;DAB1;P05480;SRC;0.21;15062102 
P62259;YWHAE;P13595;NCAM1;0.081;16615898 
P97318;DAB1;P35235;PTPN11;0.21;15062102 
P62259;YWHAE;P13366;GZMG;0.081;16615898 
P62259;YWHAE;P13439;UMPS;0.081;16615898 
P62259;YWHAE;P14576;SRP54;0.081;16615898 
P62259;YWHAE;P14115;RPL27A;0.081;16615898 
Q04736;YES1;P97318;DAB1;0.21;15062102 
Q3UHC7;DAB2IP;P97318;DAB1;0.21;12877983 
Q62077;PLCG1;P97318;DAB1;0.21;15062102 
Q64010;CRK;P97318;DAB1;0.21;15062102 
Q924X6;LRP8;P97318;DAB1;0.648;15249135 10380922 10827173 
Q9D5V5;CUL5;P97318;DAB1;0.21;17974915 
Q62468;VIL1;P97328;KHK;0.126;17205597 
Q9QZ83;ACTG1;P97328;KHK;0.126;17205597 
P62259;YWHAE;P13808;SLC4A2;0.081;16615898 
P62259;YWHAE;P13707;GPD1;0.081;16615898 
P62259;YWHAE;P13745;GSTA1;0.081;16615898 
P62259;YWHAE;P14094;ATP1B1;0.081;16615898 
P62259;YWHAE;P13864;DNMT1;0.081;16615898 
P62259;YWHAE;P14069;S100A6;0.081;16615898 
P62259;YWHAE;P14231;ATP1B2;0.081;16615898 
P62259;YWHAE;P14148;RPL7;0.081;16615898 
P62259;YWHAE;P14131;RPS16;0.081;16615898 
P97333;NRP1;O08665;SEMA3A;0.309;23104057 
P97333;NRP1;P10126;EEF1A1;0.21;24021649 
P97333;NRP1;P17182;ENO1;0.21;24021649 
P97333;NRP1;P34152;PTK2;0.376;18464795 
P97333;NRP1;P35969;FLT1;0.21;23452854 
P97333;NRP1;P70207;PLXNA2;0.309;23104057 
P97333;NRP1;P97333;NRP1;0.236;17981115 
Q61140;BCAR1;P97333;NRP1;0.309;24021649 
Q61879;MYH10;P97333;NRP1;0.21;24021649 
P62259;YWHAE;P14142;SLC2A4;0.081;16615898 
Q8VDD5;MYH9;P97333;NRP1;0.21;24021649 
Q9JHU4;DYNC1H1;P97333;NRP1;0.21;24021649 
P62259;YWHAE;P14211;CALR;0.081;16615898 
P62259;YWHAE;P14152;MDH1;0.081;16615898 
P97358;TAF1B;P97357;TAF1A;0.376;9050847 
P97358;TAF1B;P15806;TCF3;0.183;20211142 
P62259;YWHAE;P14206;RPSA;0.081;16615898 
Q8BRB7;KAT6B;P97360;ETV6;0.309;17980166 
Q9DBL1;ACADSB;P62259;YWHAE;0.081;16615898 
