Protein A;Gene A;Protein B;Gene B;Score;PMID
Q63429;UBC;Q5RKI1;EIF4A2;0.126;22871113 
Q63429;UBC;Q5U1Z2;TRAPPC3;0.126;22871113 
Q63429;UBC;Q5U211;SNX3;0.126;22871113 
Q63429;UBC;Q5U2S1;NDFIP1;0.126;22871113 
Q63429;UBC;Q5U2U6;CDIP1;0.126;22871113 
Q63429;UBC;Q5U300;UBA1;0.126;22871113 
Q63429;UBC;Q5XI20;MTURN;0.126;22871113 
Q63429;UBC;Q5XI32;CAPZB;0.126;22871113 
Q63429;UBC;Q5XI42;ALDH3B1;0.126;22871113 
Q63429;UBC;Q5XI55;NGLY1;0.126;22871113 
Q63429;UBC;Q5XI73;ARHGDIA;0.126;22871113 
Q63429;UBC;Q5XI97;AARSD1;0.126;22871113 
Q63429;UBC;Q5XIC1;GMPPA;0.126;22871113 
Q63429;UBC;Q5XID7;ARMCX3;0.126;22871113 
Q63429;UBC;Q5XIE0;ANP32E;0.126;22871113 
Q63429;UBC;Q5XIE8;ITM2B;0.126;22871113 
Q63429;UBC;Q5XIF6;TUBA4A;0.126;22871113 
Q63429;UBC;Q5XIJ5;ABHD17A;0.126;22871113 
Q63429;UBC;Q5XIQ4;MGRN1;0.126;22871113 
Q63429;UBC;Q5XIT1;MAPRE3;0.126;22871113 
Q63429;UBC;Q62634;SLC17A7;0.126;22871113 
Q63429;UBC;Q62658;FKBP1A;0.126;22871113 
Q63429;UBC;Q62696;DLG1;0.126;22871113 
Q63429;UBC;Q62761;CSNK1G1;0.126;22871113 
Q63429;UBC;Q62799;ERBB3;0.126;22871113 
Q63429;UBC;Q62835;RABEP2;0.126;22871113 
Q63429;UBC;Q62876;SYNGR1;0.126;22871113 
Q63429;UBC;Q62888;NLGN2;0.126;22871113 
Q63429;UBC;Q62910;SYNJ1;0.126;22871113 
Q63429;UBC;Q62915;CASK;0.126;22871113 
Q63429;UBC;Q62936;DLG3;0.126;22871113 
Q63429;UBC;Q62950;CRMP1;0.126;22871113 
Q63429;UBC;Q62951;DPYSL4;0.126;22871113 
Q63429;UBC;Q62952;DPYSL3;0.126;22871113 
Q63429;UBC;Q62976;KCNMA1;0.126;22871113 
Q63429;UBC;Q63053;ARC;0.126;22871113 
Q63429;UBC;Q63060;GK;0.126;22871113 
Q63429;UBC;Q63092;CAMKV;0.126;22871113 
Q63429;UBC;Q63100;DYNC1I1;0.126;22871113 
Q63429;UBC;Q63269;ITPR3;0.659;21071436 9139693 10191279 
Q63429;UBC;Q63270;ACO1;0.126;22871113 
Q63429;UBC;Q63327;MOBP;0.126;22871113 
Q63429;UBC;Q63347;PSMC2;0.126;22871113 
Q63429;UBC;Q63357;MYO1D;0.126;22871113 
Q63429;UBC;Q63374;NRXN2;0.126;22871113 
Q63429;UBC;Q63376;NRXN2;0.126;22871113 
Q63488;SLC20A2;Q63429;UBC;0.126;22871113 
Q63537;SYN2;Q63429;UBC;0.126;22871113 
Q63560;MAP6;Q63429;UBC;0.126;22871113 
Q63564;SV2B;Q63429;UBC;0.126;22871113 
Q63569;PSMC3;Q63429;UBC;0.126;22871113 
Q63570;PSMC4;Q63429;UBC;0.126;22871113 
Q63610;TPM3;Q63429;UBC;0.126;22871113 
Q63621;IL1RAP;Q63429;UBC;0.126;22871113 
Q63622;DLG2;Q63429;UBC;0.126;22871113 
Q63633;SLC12A5;Q63429;UBC;0.126;22871113 
Q63635;STX6;Q63429;UBC;0.126;22871113 
Q63666;VAMP1;Q63429;UBC;0.126;22871113 
Q63716;PRDX1;Q63429;UBC;0.126;22871113 
Q63754;SNCB;Q63429;UBC;0.126;22871113 
Q63801;TAF6;Q63429;UBC;0.126;22871113 
Q64119;MYL6;Q63429;UBC;0.126;22871113 
Q64232;TECR;Q63429;UBC;0.126;22871113 
Q64303;PAK2;Q63429;UBC;0.126;22871113 
Q64542;ATP2B4;Q63429;UBC;0.126;22871113 
Q64560;TPP2;Q63429;UBC;0.126;22871113 
Q64568;ATP2B3;Q63429;UBC;0.126;22871113 
Q64623;DUSP1;Q63429;UBC;0.376;16301819 
Q64654;CYP51A1;Q63429;UBC;0.126;22871113 
Q66H73;CCDC82;Q63429;UBC;0.126;22871113 
Q66HA6;ARL8B;Q63429;UBC;0.126;22871113 
Q66HA8;HSPH1;Q63429;UBC;0.126;22871113 
Q68FP1;GSN;Q63429;UBC;0.126;22871113 
Q68FQ2;JAM3;Q63429;UBC;0.126;22871113 
Q68FW9;COPS3;Q63429;UBC;0.126;22871113 
Q69FB3;JPH4;Q63429;UBC;0.126;22871113 
Q6AY30;SCCPDH;Q63429;UBC;0.126;22871113 
Q6AY41;TMEM30A;Q63429;UBC;0.126;22871113 
Q6AY86;VPS26A;Q63429;UBC;0.126;22871113 
Q6AYA5;TMEM106B;Q63429;UBC;0.126;22871113 
Q6AYF7;MFAP3;Q63429;UBC;0.126;22871113 
Q6AYH5;DCTN2;Q63429;UBC;0.126;22871113 
Q6AYM2;TEKT2;Q63429;UBC;0.126;22871113 
Q6AYQ1;GOLGA7;Q63429;UBC;0.126;22871113 
Q6AYT3;RTCB;Q63429;UBC;0.126;22871113 
Q6IV57;RNF141;Q63429;UBC;0.126;22871113 
Q6MG49;BAG6;Q63429;UBC;0.126;22871113 
Q6MG60;DDAH2;Q63429;UBC;0.126;22871113 
Q6P501;LAPTM4A;Q63429;UBC;0.126;22871113 
Q6P502;CCT3;Q63429;UBC;0.126;22871113 
Q6P5P3;TTC9C;Q63429;UBC;0.126;22871113 
Q6P6U0;FGR;Q63429;UBC;0.126;22871113 
Q6P6V0;GPI;Q63429;UBC;0.126;22871113 
Q6P791;LAMTOR1;Q63429;UBC;0.126;22871113 
Q6P7B0;WARS;Q63429;UBC;0.126;22871113 
Q6P9T8;TUBB4B;Q63429;UBC;0.126;22871113 
Q6PCU2;ATP6V1E1;Q63429;UBC;0.126;22871113 
Q6PEC4;SKP1;Q63429;UBC;0.126;22871113 
Q6RUV5;RAC1;Q63429;UBC;0.126;22871113 
Q6XUX2;DSTYK;Q63429;UBC;0.126;22871113 
Q71LX6;XIRP2;Q63429;UBC;0.126;22871113 
Q71UE8;NEDD8;Q63429;UBC;0.126;22871113 
Q75Q39;TOMM70A;Q63429;UBC;0.126;22871113 
Q76K24;ANKRD46;Q63429;UBC;0.126;22871113 
Q78EA7;BMPR1A;Q63429;UBC;0.126;22871113 
Q792G6;GNAS;Q63429;UBC;0.126;22871113 
Q792H5;CELF2;Q63429;UBC;0.126;22871113 
Q794F9;SLC3A2;Q63429;UBC;0.126;22871113 
Q7TP98;ILF2;Q63429;UBC;0.126;22871113 
Q7TSA0;RHOT2;Q63429;UBC;0.126;22871113 
Q80W98;SGTB;Q63429;UBC;0.126;22871113 
Q80XF7;GJC2;Q63429;UBC;0.126;22871113 
Q810U0;CCDC50;Q63429;UBC;0.126;22871113 
Q812E8;NADSYN1;Q63429;UBC;0.126;22871113 
Q812E9;GPM6A;Q63429;UBC;0.126;22871113 
Q8CFN2;CDC42;Q63429;UBC;0.126;22871113 
Q8R5M4;OPTN;Q63429;UBC;0.126;22871113 
Q8VBU2;NDRG2;Q63429;UBC;0.126;22871113 
Q8VHW5;CACNG8;Q63429;UBC;0.126;22871113 
Q8VIL3;ZWINT;Q63429;UBC;0.126;22871113 
Q91XV6;FXYD6;Q63429;UBC;0.126;22871113 
Q920J4;TXNL1;Q63429;UBC;0.126;22871113 
Q920Q0;PALM;Q63429;UBC;0.126;22871113 
Q924K2;FAF1;Q63429;UBC;0.126;22871113 
Q924N5;ACSBG1;Q63429;UBC;0.126;22871113 
Q925B5;SYT13;Q63429;UBC;0.126;22871113 
Q925D4;TMEM176B;Q63429;UBC;0.126;22871113 
Q99JD4;CLASP2;Q63429;UBC;0.126;22871113 
Q99MI7;UBA3;Q63429;UBC;0.126;22871113 
Q99MZ4;GGT7;Q63429;UBC;0.126;22871113 
Q99PD4;ARPC1A;Q63429;UBC;0.126;22871113 
Q9EPF2;MCAM;Q63429;UBC;0.126;22871113 
Q9EPH8;PABPC1;Q63429;UBC;0.126;22871113 
Q9EPT8;CLIC5;Q63429;UBC;0.126;22871113 
Q9EPX4;P2RY12;Q63429;UBC;0.126;22871113 
Q9EPZ7;SLCO1C1;Q63429;UBC;0.126;22871113 
Q9EQH5;CTBP2;Q63429;UBC;0.126;22871113 
Q9EQS0;TALDO1;Q63429;UBC;0.126;22871113 
Q9EQX9;UBE2N;Q63429;UBC;0.126;22871113 
Q9ER24;ATXN10;Q63429;UBC;0.126;22871113 
Q9ERE6;MPRIP;Q63429;UBC;0.126;22871113 
Q9ERQ6;CSPG5;Q63429;UBC;0.126;22871113 
Q9ES40;ARL6IP5;Q63429;UBC;0.126;22871113 
Q9ESR9;ABCA2;Q63429;UBC;0.126;22871113 
Q9JHS1;EPAS1;Q63429;UBC;0.21;12675925 
Q9JHU0;DPYSL5;Q63429;UBC;0.126;22871113 
Q9JHU6;STMN3;Q63429;UBC;0.126;22871113 
Q9JHW5;VAMP7;Q63429;UBC;0.126;22871113 
Q9JHZ4;GRIPAP1;Q63429;UBC;0.126;22871113 
Q9JHZ9;SLC38A3;Q63429;UBC;0.126;22871113 
Q9JI12;SLC17A6;Q63429;UBC;0.126;22871113 
Q9JI66;SLC4A4;Q63429;UBC;0.126;22871113 
Q9JIL3;ILF3;Q63429;UBC;0.126;22871113 
Q9JJ19;SLC9A3R1;Q63429;UBC;0.126;22871113 
Q9JJ31;CUL5;Q63429;UBC;0.126;22871113 
Q9JJ50;HGS;Q63429;UBC;0.126;22871113 
Q9JJ79;DYNC2H1;Q63429;UBC;0.126;22871113 
Q9JJK1;GPM6B;Q63429;UBC;0.126;22871113 
Q9JJM7;GP1BB;Q63429;UBC;0.126;22871113 
Q9JJP0;SLC20A1;Q63429;UBC;0.126;22871113 
Q9JJP9;UBQLN1;Q63429;UBC;0.126;22871113 
Q9JK00;SCN3B;Q63429;UBC;0.126;22871113 
Q9JK66;PARK2;Q63429;UBC;0.21;24386307 
Q9JKA9;HCN2;Q63429;UBC;0.126;22871113 
Q9JKB0;HCN1;Q63429;UBC;0.126;22871113 
Q9JKE3;SCAMP5;Q63429;UBC;0.126;22871113 
Q9JMB5;ADRM1;Q63429;UBC;0.126;22871113 
Q9QUL6;NSF;Q63429;UBC;0.126;22871113 
Q9QXY2;SRCIN1;Q63429;UBC;0.126;22871113 
Q9QZA2;PDCD6IP;Q63429;UBC;0.126;22871113 
Q9QZC4;PCYT1B;Q63429;UBC;0.126;22871113 
Q9QZG1;SLC22A23;Q63429;UBC;0.126;22871113 
P37377;SNCA;P35280;RAB8A;0.21;24983211 
Q9QZR6;SEPT9;Q63429;UBC;0.126;22871113 
Q9R0I6;XIAP;Q63429;UBC;0.21;14526223 
Q9R1Z0;VDAC3;Q63429;UBC;0.126;22871113 
Q9WTR8;PHLPP1;Q63429;UBC;0.126;22871113 
Q9WU34;SEPT3;Q63429;UBC;0.126;22871113 
Q9WVB1;RAB6A;Q63429;UBC;0.126;22871113 
Q9WVC0;SEPT7;Q63429;UBC;0.126;22871113 
Q9WVJ4;SYNJ2BP;Q63429;UBC;0.126;22871113 
Q9Z0W5;PACSIN1;Q63429;UBC;0.126;22871113 
Q9Z0W7;CLIC4;Q63429;UBC;0.126;22871113 
Q9Z1P2;ACTN1;Q63429;UBC;0.126;22871113 
Q9Z1T4;CNKSR2;Q63429;UBC;0.126;22871113 
Q9Z1X1;ESYT1;Q63429;UBC;0.126;22871113 
Q9Z1Y3;CDH2;Q63429;UBC;0.126;22871113 
Q9Z214;HOMER1;Q63429;UBC;0.126;22871113 
Q9Z250;LIN7A;Q63429;UBC;0.126;22871113 
Q9Z2G8;NAP1L1;Q63429;UBC;0.126;22871113 
Q9Z2L0;VDAC1;Q63429;UBC;0.126;22871113 
Q9Z2Q7;STX8;Q63429;UBC;0.126;22871113 
Q9Z327;SYNPO;Q63429;UBC;0.126;22871113 
Q63450;CAMK1;P15337;CREB1;0.033;20097902 
Q63450;CAMK1;Q3MUI1;NUMB;0.033;17022975 
Q80Z30;PPM1E;Q63450;CAMK1;0.033;15680915 
Q63454;MAPK4;P21708;MAPK3;0.126;19935650 
Q6IN33;RCAN1;Q63470;DYRK1A;0.126;21965663 
Q63503;NR1D1;P02651;APOA4;0.309;24311788 
Q63531;RPS6KA1;P21708;MAPK3;0.126;19935650 
Q63531;RPS6KA1;P35213;YWHAB;0.21;12618428 
Q63531;RPS6KA1;P42346;MTOR;0.033;11914378 
Q63560;MAP6;P09527;RAB7A;0.126;24357581 
Q63617;HYOU1;Q498R3;DNAJC10;0.126;22665516 
Q63622;DLG2;P97836;DLGAP1;0.309;9694864 
Q63622;DLG2;Q00959;GRIN2A;0.309;8601796 
Q63622;DLG2;Q00960;GRIN2B;0.309;8601796 
Q63645;F2RL1;P23928;CRYAB;0.21;19558454 
Q63645;F2RL1;P24623;CRYAA;0.21;19558454 
Q63648;NF2;D4A9Q2;AMOT;0.507;21481793 
Q63648;NF2;P62142;PPP1CB;0.21;16885985 
Q63648;NF2;Q10728;PPP1R12A;0.21;16885985 
Q4AE70;CARM1;P15337;CREB1;0.21;16330542 
Q9JI51;VTI1A;Q63666;VAMP1;0.21;17717530 
Q63714;GOLGB1;P41542;USO1;0.236;11927603 
Q63714;GOLGB1;Q62839;GOLGA2;0.126;11927603 
Q63722;JAG1;Q07008;NOTCH1;0.21;24563863 
Q63787;PIK3R1;P63059;THRA;0.21;16717100 
Q63921;PTGS1;P29476;NOS1;0.21;24530741 
Q63945;SET;P21708;MAPK3;0.126;19935650 
Q4KMA2;RAD23B;Q4FZT9;PSMD2;0.236;20178748 
Q4G017;NISCH;P61107;RAB14;0.21;23386062 
Q641Z2;PTPN9;Q63635;STX6;0.126;15322554 
Q641Z4;CDK9;P46152;GATA4;0.126;20081228 
Q9JHS1;EPAS1;Q64259;VHL;0.21;12675925 
Q64273;KCNJ2;Q63622;DLG2;0.21;15304517 
Q642A0;PDRG1;P18298;MAT2A;0.309;27548429 
Q64303;PAK2;P02688;MBP;0.309;7592896 
Q64303;PAK2;Q64303;PAK2;0.332;7592896 
Q64537;CAPNS1;Q07009;CAPN2;0.671;10601010 15476820 10417423 
Q64604;PTPRF;P31016;DLG4;0.126;11931740 
Q66H76;PXN;Q62824;EXOC4;0.21;19885391 
Q99J82;ILK;Q66H76;PXN;0.21;11304546 
Q6TUG0;DNAJB11;Q66H94;FKBP9;0.126;22665516 
Q66HA1;MAP3K11;P42260;GRIK2;0.507;22483987 19449206 
Q66HA2;CREB3L1;Q63429;UBC;0.21;22705851 
Q66HC5;NUP93;P17955;NUP62;0.126;9348540 
Q9QWJ1;RAR;Q66HP1;KLF5;0.21;19292987 
Q66HR2;MAPRE1;P21708;MAPK3;0.126;19935650 
Q4KMA2;RAD23B;P68035;ACTC1;0.21;19182904 
Q4KMA2;RAD23B;P00564;CKM;0.21;19182904 
Q4QRB4;TUBB3;P35286;RAB13;0.126;16946709 
Q4KMA2;RAD23B;O88600;HSPA4;0.21;19182904 
Q4KLI7;SF3A3;P21708;MAPK3;0.126;19935650 
P53563;BCL2L1;O35303;DNM1L;0.61;18250306 
P53563;BCL2L1;P10361;TP53;0.21;17073802 
Q4KLN0;Q4KLN0;Q4KLN0;Q4KLN0;0.332;11152476 
Q4KMA2;RAD23B;O35987;NSFL1C;0.21;19182904 
Q4KMA2;RAD23B;O08623;SQSTM1;0.21;19182904 
Q4KMA2;RAD23B;D4A5U3;TGM3;0.21;19182904 
Q4KMA2;RAD23B;E9PU17;E9PU17;0.126;20178748 
Q4KMA2;RAD23B;P62898;CYCS;0.21;19182904 
Q4KMA2;RAD23B;P04762;CAT;0.21;19182904 
Q4KMA2;RAD23B;P02600;MYL1;0.21;19182904 
Q4KMA2;RAD23B;P04692;TPM1;0.21;19182904 
Q4KMA2;RAD23B;P07150;ANXA1;0.21;19182904 
Q4KMA2;RAD23B;P05197;EEF2;0.21;19182904 
Q4KMA2;RAD23B;P04797;GAPDH;0.21;19182904 
Q4KMA2;RAD23B;P12785;FASN;0.21;19182904 
Q4KMA2;RAD23B;P09739;TNNT3;0.21;19182904 
Q4KMA2;RAD23B;P07824;ARG1;0.21;19182904 
Q4KMA2;RAD23B;P09117;ALDOC;0.21;19182904 
Q4KMA2;RAD23B;P11980;PKM;0.21;19182904 
Q4KMA2;RAD23B;P62630;EEF1A1;0.21;19182904 
Q4KMA2;RAD23B;P31000;VIM;0.21;19182904 
Q4KMA2;RAD23B;P23606;TGM1;0.21;19182904 
Q4KMA2;RAD23B;P25235;RPN2;0.21;19182904 
Q4KMA2;RAD23B;P46462;VCP;0.21;19182904 
Q4KMA2;RAD23B;P35704;PRDX2;0.21;19182904 
Q4KMA2;RAD23B;P48500;TPI1;0.21;19182904 
Q4KMA2;RAD23B;P47819;GFAP;0.21;19182904 
Q4KMA2;RAD23B;P48004;PSMA7;0.236;20178748 
Q4KMA2;RAD23B;P58775;TPM2;0.21;19182904 
Q4KMA2;RAD23B;Q499N6;UBXN1;0.21;19182904 
Q4KMA2;RAD23B;Q07936;ANXA2;0.21;19182904 
Q4KMA2;RAD23B;Q2TL32;UBR4;0.21;19182904 
Q4KMA2;RAD23B;Q09073;SLC25A5;0.236;20178748 
Q4KMA2;RAD23B;Q29RW1;MYH4;0.21;19182904 
Q4QRB4;TUBB3;Q4KMA2;RAD23B;0.236;20178748 
Q4KMA2;RAD23B;Q4H493;ABCA17;0.126;20178748 
Q5PPI9;TTLL1;Q4KMA2;RAD23B;0.21;19182904 
Q4V8E2;PSMD14;Q4KMA2;RAD23B;0.236;20178748 
Q4VSI4;USP7;Q4KMA2;RAD23B;0.21;19182904 
Q5XIU5;PSMF1;Q4KMA2;RAD23B;0.21;19182904 
Q9JMB5;ADRM1;Q4KMA2;RAD23B;0.21;19182904 
Q63716;PRDX1;Q4KMA2;RAD23B;0.21;19182904 
Q6AYH5;DCTN2;Q4KMA2;RAD23B;0.21;19182904 
Q9ES53;UFD1L;Q4KMA2;RAD23B;0.21;19182904 
Q9ES54;NPLOC4;Q4KMA2;RAD23B;0.21;19182904 
Q4KSH6;MAP2K4;Q06226;SGK1;0.21;17568772 
Q62925;MAP3K1;Q4KSH6;MAP2K4;0.21;17568772 
P97879;GRIP1;P35349;GRM6;0.126;11891216 
P70597;PTGER1;P35355;PTGS2;0.21;24614038 
Q4QQV2;DOK1;O70143;SHC3;0.21;16407976 
Q4QQS4;RUVBL2;P21708;MAPK3;0.126;19935650 
Q5M824;SHC1;Q4QQV2;DOK1;0.21;12008030 
Q4QRB4;TUBB3;P47942;DPYSL2;0.376;12134159 
Q4QQW4;HDAC1;O55081;RBL2;0.21;15769944 
Q7TQN4;RELA;Q4QQW4;HDAC1;0.21;24469401 
Q8CHJ4;Q8CHJ4;Q4QQW4;HDAC1;0.21;24469401 
Q9QXN1;LEF1;Q4QQW4;HDAC1;0.21;22373574 
P50596;LEP;P23785;GRN;0.21;11068878 
P50596;LEP;P21744;IGFBP4;0.21;11068878 
P50596;LEP;P22057;PTGDS;0.21;11068878 
P53676;AP3M1;M0RC99;RAB5A {ECO:0000312|RGD:620936};0.126;20664521 
P53676;AP3M1;P09527;RAB7A;0.126;20664521 
P53676;AP3M1;P21708;MAPK3;0.126;19935650 
P62494;RAB11A;P53676;AP3M1;0.126;20664521 
Q8R525;AP1G1;P53676;AP3M1;0.126;20664521 
Q3LRZ1;CRTC2;Q09137;PRKAA2;0.309;22588126 
Q6IN36;WIPF1;Q4V7C7;ACTR3;0.21;16990791 
Q68FQ7;RPAP3;P21708;MAPK3;0.126;19935650 
Q68FS2;COPS4;P21707;SYT1;0.126;21102408 
Q68FS2;COPS4;P60192;SNAPIN;0.21;21102408 
Q68G38;TOR1A;Q68FS2;COPS4;0.309;21102408 
Q62623;CDC20;Q4V8A2;CDC27;0.21;22045811 
Q6GX89;Q6GX89;Q4V8A2;CDC27;0.21;20466002 
Q9R0T4;CDH1;Q4V8A2;CDC27;0.21;11340163 
Q4V8H8;EHD2;P19357;SLC2A4;0.21;15182197 
Q68SB1;STAU2;Q27W01;RBM8A;0.21;15970630 
Q501R9;NBR1;O08623;SQSTM1;0.21;15802564 
Q5PQN5;TRIM55;Q501R9;NBR1;0.21;15802564 
Q91Z63;TRIM63;Q501R9;NBR1;0.21;15802564 
Q62985;SH2B1;P50745;SH2B3;0.21;22028877 
P50745;SH2B3;P35739;NTRK1;0.376;22028877 
P35400;GRM7;P05696;PRKCA;0.21;11007882 
Q9QYH1;MPP4;P35407;CXCR2;0.21;10558890 
Q6AY21;G3BP2;P21708;MAPK3;0.126;19935650 
Q6AY23;PYCR2;P21708;MAPK3;0.126;19935650 
Q6AY53;DHPS;P21708;MAPK3;0.126;19935650 
Q6AYA5;TMEM106B;P14562;LAMP1;0.126;24357581 
Q9QXQ0;ACTN4;Q6AYD6;PDLIM2;0.309;15505042 
Q9Z1P2;ACTN1;Q6AYD6;PDLIM2;0.309;15505042 
Q6AZ28;PIAS2;P15207;AR;0.033;9920921 
Q6AZ50;ATG3;Q2TBJ5;ATG12;0.21;18321988 
P35407;CXCR2;P35407;CXCR2;0.236;12888558 
Q63429;UBC;P50753;TNNT2;0.21;19801490 
P35426;CDK4;P08644;KRAS;0.21;11384971 
Q04827;CCND2;P35426;CDK4;0.21;11384971 
Q6E0V2;KATNA1;O35814;STIP1;0.21;23904609 
Q6E0V2;KATNA1;P0DMW0;HSPA1A;0.21;23904609 
Q6E0V2;KATNA1;P0DMW1;HSPA1B;0.21;23904609 
Q6E0V2;KATNA1;P15146;MAP2;0.21;23904609 
Q6E0V2;KATNA1;P16617;PGK1;0.21;23904609 
Q6E0V2;KATNA1;P28480;TCP1;0.21;23904609 
Q6E0V2;KATNA1;P34058;HSP90AB1;0.21;23904609 
Q6E0V2;KATNA1;P41562;IDH1;0.21;23904609 
Q6E0V2;KATNA1;P47942;DPYSL2;0.21;23904609 
Q6E0V2;KATNA1;P61765;STXBP1;0.21;23904609 
Q6E0V2;KATNA1;P63018;HSPA8;0.21;23904609 
Q6E0V2;KATNA1;P82995;HSP90AA1;0.21;23904609 
Q6E0V2;KATNA1;Q5FVJ0;RUFY3;0.21;23904609 
Q6E0V2;KATNA1;Q66HR2;MAPRE1;0.21;23904609 
Q6IMF3;KRT1;Q6E0V2;KATNA1;0.21;23904609 
Q6F6B3;TANC1;P11275;CAMK2A;0.21;15673434 
Q6F6B3;TANC1;P16086;SPTAN1;0.21;15673434 
Q6F6B3;TANC1;P19490;GRIA1;0.21;15673434 
Q6F6B3;TANC1;P31016;DLG4;0.21;15673434 
Q6F6B3;TANC1;P97836;DLGAP1;0.21;15673434 
Q6F6B3;TANC1;Q00960;GRIN2B;0.21;15673434 
Q6F6B3;TANC1;Q5EB61;MINK1;0.21;18930710 
Q6F6B3;TANC1;Q62696;DLG1;0.21;15673434 
Q9Z214;HOMER1;Q6F6B3;TANC1;0.21;15673434 
P35439;GRIN1;O88382;MAGI2;0.21;9694864 
Q62936;DLG3;P35439;GRIN1;0.21;8780649 
Q56AP7;CRBN;P35524;CLCN1;0.21;26021757 
Q6GMN2;BAIAP2;P54258;ATN1;0.21;10332026 
Q6GMN2;BAIAP2;Q4L1J4;MAGI1;0.309;14596909 
Q6GMN2;BAIAP2;Q5SGD7;CNKSR3;0.309;14596909 
Q6GMN2;BAIAP2;Q63618;ESPN;0.523;12598619 
Q9QZM5;ABI1;Q6GMN2;BAIAP2;0.309;14596909 
Q9WU82;CTNNB1;Q6GMN2;BAIAP2;0.126;14596909 
Q9Z2X5;HOMER3;P35565;CANX;0.126;22486777 
P62198;PSMC5;P35565;CANX;0.126;22486777 
P35565;CANX;P23385;GRM1;0.126;22486777 
P35565;CANX;P11598;PDIA3;0.126;22665516 
P35570;IRS1;O08623;SQSTM1;0.569;22761437 
Q63429;UBC;P35570;IRS1;0.21;15456867 
P38444;ACVR2A;O88382;MAGI2;0.126;10681527 
P84025;SMAD3;P38444;ACVR2A;0.126;10681527 
P38659;PDIA4;P38659;PDIA4;0.155;22665516 
Q0R337;GRP94;P38659;PDIA4;0.21;7916014 
Q63617;HYOU1;P38659;PDIA4;0.21;9006956 
Q66HD0;HSP90B1;P38659;PDIA4;0.21;9006956 
Q9Z0V5;PRDX4;P38659;PDIA4;0.126;22665516 
P54256;HAP1;B2GV74;KLC2;0.21;16339760 
P54256;HAP1;P54256;HAP1;0.236;16339760 
P56536;KIF5C;P54256;HAP1;0.126;16339760 
P62260;YWHAE;P54256;HAP1;0.309;17166838 
Q156J1;Q156J1;P21708;MAPK3;0.126;19935650 
P54282;CACNA1A;P15205;MAP1B;0.21;25483588 
Q99PD2;RNF138 {ECO:0000312|RGD:621485};P54282;CACNA1A;0.309;28167673 
P54645;PRKAA1;P49816;TSC2;0.309;19914239 
P55018;SLC12A3;P11598;PDIA3;0.21;11832422 
P55054;FABP9;P15304;LIPE;0.623;10318917 
P36506;MAP2K2;O08774;RGS12;0.623;17380122 
P55090;UCN;P47866;CRHR2;0.523;9423932 11416224 
P55213;CASP3;P55213;CASP3;0.065;16765951 
P51579;P2RX6;P51577;P2RX4;0.454;24815693 
P84092;AP2M1;P51577;P2RX4;0.309;15985462 
P51579;P2RX6;P49653;P2RX2;0.454;24815693 
Q63429;UBC;P35739;NTRK1;0.21;18419753 
P35739;NTRK1;O08774;RGS12;0.21;17380122 
Q63347;PSMC2;P35739;NTRK1;0.21;18419753 
P35739;NTRK1;P35739;NTRK1;0.236;21187090 
P35739;NTRK1;P09527;RAB7A;0.21;18419753 
P35739;NTRK1;P20171;HRAS;0.21;17380122 
P36506;MAP2K2;P35739;NTRK1;0.21;17380122 
Q03114;CDK5;P35739;NTRK1;0.21;17341134 
Q5M824;SHC1;P35739;NTRK1;0.21;16246731 
Q4KM35;PSMB10;P35739;NTRK1;0.21;18419753 
Q66H62;CYLD;P35739;NTRK1;0.21;18174161 
Q9Z254;GIPC1;P35739;NTRK1;0.21;16819522 
Q9EQG6;KIDINS220;P35739;NTRK1;0.21;16284401 
P51638;CAV3;O08962;KCNH2;0.21;22879586 
Q9WTV5;PSMD9;P52947;PDX1;0.569;15885879 
Q8R478;WBP2;P51974;PAX8;0.671;14531730 
P59215;GNAO1;P08592;APP;0.126;23761911 
P59215;GNAO1;P49799;RGS4;0.309;23022564 
Q63622;DLG2;P52188;KCNJ12;0.21;15024025 
Q62936;DLG3;P52188;KCNJ12;0.21;15024025 
Q62915;CASK;P52188;KCNJ12;0.21;15024025 
P52188;KCNJ12;P31016;DLG4;0.21;15024025 
P52188;KCNJ12;O35430;APBA1;0.21;15024025 
Q9Z250;LIN7A;P52188;KCNJ12;0.21;15024025 
Q792I0;LIN7C;P52188;KCNJ12;0.21;15024025 
P60192;SNAPIN;D3ZCV0;ACTN2;0.126;23414517 
Q06486;CSNK1D;P60192;SNAPIN;0.523;17101137 
P52296;KPNB1;P21708;MAPK3;0.126;19935650 
P52555;ERP29;P52555;ERP29;0.155;22665516 
P52555;ERP29;P06761;HSPA5;0.126;22665516 
P60517;GABARAP;P18508;GABRG2;0.309;10900017 
P60517;GABARAP;P23574;GABRG1;0.309;10900017 
Q03555;GPHN;P60517;GABARAP;0.309;10900017 
P52631;STAT3;P11598;PDIA3;0.21;10464281 
P60711;ACTB;P19814;TTGN1;0.126;18309323 
P60711;ACTB;P31016;DLG4;0.126;18309323 
Q63618;ESPN;P60711;ACTB;0.21;12598619 
P60881;SNAP25;P47709;RPH3A;0.507;16763567 
P61265;STX1B;P60881;SNAP25;0.309;10825299 
P84087;CPLX2;P60881;SNAP25;0.21;19033464 
Q08850;STX4;P60881;SNAP25;0.21;12130530 
Q63635;STX6;P60881;SNAP25;0.21;17717530 
Q9WU70;STXBP5;P60881;SNAP25;0.21;15316007 
